Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN(ETH),Value_OUT(ETH),CurrentValue @ $4023.77/Eth,TxnFee(ETH),TxnFee(USD),Historical $Price/Eth,Status,ErrCode,Method
0x7f10004def891a9965e972e57ecb8b93c517b5d4d7e4539d364160ec65fb63f5,11367463,1606836555,12/1/20 15:29,0xdad4c11e8cc6a5c37808d3b31b3b284809f702d1,0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9,,0,0,0,0.034249331,137.8114286,586.23,,,Deposit
0xaf5e3f50a65040286ce2a4092947c945b20e334ad9116676ebf5b655b5f02474,11367790,1606840850,12/1/20 16:40,0xbd723fc4f1d737dcfc48a07fe7336766d34cad5f,0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9,,0,0,0,0.017136874,68.954839,586.23,,,Deposit
0xcd650142f38eaa8304cd322f13f7721029ab1ac22ecb49999a6e5cbb28b82e91,11367794,1606840938,12/1/20 16:42,0xbd723fc4f1d737dcfc48a07fe7336766d34cad5f,0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9,,0,0,0,0.009855,39.65425335,586.23,,,Deposit
0xc70f4c3f447f6a88e9fbb87ac1394b589e469ee57ddabd37d0d90019027114f2,11367824,1606841218,12/1/20 16:46,0xbd723fc4f1d737dcfc48a07fe7336766d34cad5f,0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9,,0,0,0,0.026352241,106.0353568,586.23,,,Borrow
0x17869b1999e221cb74ab4fc8c9f7087097e6e27b50ddbeb5177ce3e3de8352d2,11367843,1606841476,12/1/20 16:51,0xbd723fc4f1d737dcfc48a07fe7336766d34cad5f,0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9,,0,0,0,0.02820526,113.491479,586.23,,,Withdraw
0x94bea79e5d985f5b440d6389773af5efdec428a7e4015c059071d9510345d481,11367851,1606841582,12/1/20 16:53,0xbd723fc4f1d737dcfc48a07fe7336766d34cad5f,0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9,,0,0,0,0.017550273,70.61826199,586.23,,,Deposit
0x83362b03f36923c55c6ae839e19e991ba60e2428b71ecc812297266640da33f0,11372231,1606901475,12/2/20 9:31,0x21d05071ca08593e13cd3afd0b4869537e015c92,0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9,,0,0,0,0.006417713,25.82340104,598.26,,,Deposit
0x1ee3db904548c16d2ed3572f3d9894652e031facc8fa14652eb449e8e03e7f51,11372244,1606901658,12/2/20 9:34,0x21d05071ca08593e13cd3afd0b4869537e015c92,0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9,,0,0,0,0.00821379,33.05040179,598.26,,,Borrow
0x0ec4eb191b1167f35abbeca76e33e8d2729c2e41be13b7ef5fef66c695871a46,11372402,1606903727,12/2/20 10:08,0x39d637737cc76c5849a52c7d3b872a1eb22aa71c,0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9,,0,0,0,0.005850012,23.53910279,598.26,,,Deposit
0x2dc0a5f7359297fbf24fb88665f59aa28e86b257863e22529807ac5373881d4c,11372431,1606904131,12/2/20 10:15,0x39d637737cc76c5849a52c7d3b872a1eb22aa71c,0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9,,0,0,0,0.006912864,27.81577478,598.26,,,Deposit
