"Txhash","Blockno","UnixTimestamp","DateTime","From","To","ContractAddress","Value_IN(ETH)","Value_OUT(ETH)","CurrentValue @ $4025.18/Eth","TxnFee(ETH)","TxnFee(USD)","Historical $Price/Eth","Status","ErrCode","Method"
"0x78f8990fc1f386d39766e4b48fd3b2e94422dc22e756e5bf53333c8f1bcb3216","11447758","1607904300","2020-12-14 00:05:00","0xef99e53ab038e11334171b7a5b9c6f79c198d729","0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9","","0","0","0","0.00360639615","14.516393655057","586.35","","","Withdraw",""
"0xf7e1986d228dcca7a9c72b9d4bc0808703ff83bf8ce3491d071d1dca3d89e13b","11447763","1607904364","2020-12-14 00:06:04","0xc24d4c62e812db110f7a92cc6100557404ff666e","0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9","","0","0","0","0.010437764747040603","42.0138819044929","586.35","","","Withdraw",""
"0xd1995af5842db40eb4ad0c96ed6ef43c160cd2a07ad6c1d780f4ddf1027114a4","11447795","1607904696","2020-12-14 00:11:36","0xc97c2905b706eb7a69094e0d0ed7986b34df9d25","0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9","","0","0","0","0.017630108858929716","70.9643615767867","586.35","","","Withdraw",""
"0x90b25602c9b9d575b8a0afadf40801e39393e5b76a73f63ed129c46fb6d340c8","11447795","1607904696","2020-12-14 00:11:36","0xa2888a8b86fbc2bce538305257003e7159a9192f","0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9","","0","0","0","0.007835268","31.53836404824","586.35","","","Borrow",""
"0xedcf844f473159033f0a3e29e463d1bcd79f52dce1f627c8e3250ecf68fcfb63","11447821","1607905155","2020-12-14 00:19:15","0x48f64de392581170695a74139512bcbc3913c9b3","0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9","","0","0","0","0.0105013025","42.26963279695","586.35","","","Borrow",""
"0xc8f9f3526d0873fe30cb4f36d2c02388d9a758eb8473fe390df305bd60687008","11447822","1607905159","2020-12-14 00:19:19","0x18744edacc3d4255f8c97809444f38c6a2d6a686","0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9","","0","0","0","0.014487562","58.31504481116","586.35","","","Withdraw",""
"0x54ac767e52c536cf5cedac764bbf57676785bafe88170d21e7ab76d6705c4909","11447835","1607905404","2020-12-14 00:23:24","0x6e867b9ceda09ccb743f823d05c84cf806afeb8e","0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9","","0","0","0","0.015701805","63.2025914499","586.35","","","Borrow",""
"0xb6ebf68d07de29649117ea14a48492d7840daf8875e24e882360e5bbf0eeb2a6","11447835","1607905404","2020-12-14 00:23:24","0x18744edacc3d4255f8c97809444f38c6a2d6a686","0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9","","0","0","0","0.009250269","37.23399777342","586.35","","","Repay",""
"0x81b6bab526143869c80d0335f78b4a9d617f71295614a45dc193d62dc82fd3e1","11447836","1607905438","2020-12-14 00:23:58","0x9661409efd4790c8d0258562bfa4ee4c50b78fd1","0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9","","0","0","0","0.010701327","43.07476741386","586.35","","","Borrow",""
"0x5994c1e8014fa51170ffc0170dfa52d1cefb8f50ba2b2ae72dad909461fbeb5b","11447839","1607905492","2020-12-14 00:24:52","0x18744edacc3d4255f8c97809444f38c6a2d6a686","0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9","","0","0","0","0.015131396","60.90659255128","586.35","","","Withdraw",""
