,sum_tx_matic,avg_tx_gas_cost,tx_date
0,137854.36444545398,0.0006883811189655175,2021-01-01
1,128854.97980688082,0.0010567546208053692,2021-01-02
2,582238.4730012302,0.002482499267281106,2021-01-03
3,677450.9135630223,0.0008650612186379928,2021-01-04
4,228698.046674058,0.001355880479690523,2021-01-05
5,670777.4103054514,0.0014489921382229262,2021-01-06
6,968988.5907546026,0.03925207299396377,2021-01-07
7,137404.47133893924,0.00105630011827957,2021-01-08
8,200467.5608942301,0.0011095162955555562,2021-01-09
9,460499.05187490804,0.0013756536693163752,2021-01-10
10,163002.54288338608,0.002533517208333333,2021-01-11
11,392285.57235808857,0.0005557253340292279,2021-01-12
12,412951.1706188781,0.0005164420149402391,2021-01-13
13,476512.57945567474,0.0006079675519713261,2021-01-14
14,1825354.9689976778,0.0009115582544871793,2021-01-15
15,2988776.871583948,0.0008818685484848483,2021-01-16
16,3182623.293810387,0.0006997622540697674,2021-01-17
17,1503769.4344642498,0.0007017665698375848,2021-01-18
18,2422394.3992659794,0.0005777346695651109,2021-01-19
19,4095822.4261956313,0.0004790335890859054,2021-01-20
20,2342223.7108254153,5.661042693994842e-05,2021-01-21
21,3797338.3743457524,0.0009813467365079364,2021-01-22
22,1096305.3514446039,0.00043412048620847157,2021-01-23
23,3632542.7827202617,0.0009939092119109485,2021-01-24
24,4122437.349848225,0.00143544427830634,2021-01-25
25,3042372.9773837714,0.0008085815624167937,2021-01-26
26,2746027.125848699,0.0008961717205779398,2021-01-27
27,2069952.807960553,0.0008019705171623369,2021-01-28
28,8995255.196685923,0.0011434366759683302,2021-01-29
29,4047988.251060865,0.0021688931214508826,2021-01-30
30,771508.7971544287,0.0019254996394225796,2021-01-31
31,926705.896679961,0.0017009833383870752,2021-02-01
32,1012449.7658756513,0.002871436475430829,2021-02-02
33,4010168.385716898,0.001387995837999488,2021-02-03
34,1403438.4053150844,0.0020969522710642223,2021-02-04
35,5725679.270831327,0.0008672153935756162,2021-02-05
36,1001878.1175078877,0.0023219361297283298,2021-02-06
37,4869678.062330471,0.0014010042021724391,2021-02-07
38,3328649.4747922807,0.002676292291489413,2021-02-08
39,3245088.3055307795,0.003741821186765193,2021-02-09
40,3463633.787493344,0.0034471870537876033,2021-02-10
41,1043792.2338633628,0.0013182393053124237,2021-02-11
42,3230077.29420097,0.0011946936764773658,2021-02-12
43,2169549.089237679,0.002312708255387862,2021-02-13
44,2479578.744895338,0.0023020139610924425,2021-02-14
45,3740728.852399436,0.017040528399216943,2021-02-15
46,5014912.767842257,0.0018358081703433852,2021-02-16
47,4824304.991668151,0.0016567359425913696,2021-02-17
48,5586174.812424094,0.001887444712940494,2021-02-18
49,5277351.229121172,0.0019313185866126532,2021-02-19
50,9162606.349158874,0.0019896842076780694,2021-02-20
51,6899433.0112878755,0.0012234645954789375,2021-02-21
52,8956045.684215829,0.00208073618259993,2021-02-22
53,8195566.087045731,0.0022175245291229727,2021-02-23
54,10573013.315394843,0.0014698641795460635,2021-02-24
55,12420354.091156205,0.000992092004650385,2021-02-25
56,6948176.859695126,0.002861886432495099,2021-02-26
57,8431367.761558289,0.0010863333968228598,2021-02-27
58,13048063.167880516,0.0014268780700075008,2021-02-28
59,12342849.924729083,0.0011133346535815254,2021-03-01
60,8481758.082557008,0.001256790309397814,2021-03-02
61,9607849.433253843,0.0010401338801598974,2021-03-03
62,11834110.76040479,0.0010444004566962782,2021-03-04
63,10028101.93847505,0.001208956522110138,2021-03-05
